id,area_name,area_level,upid,display_order,full_name
1,北京,1,0,0,北京
2,北京市,2,1,0,北京-北京市
3,东城区,3,2,0,北京-北京市-东城区
4,西城区,3,2,0,北京-北京市-西城区
5,朝阳区,3,2,0,北京-北京市-朝阳区
6,丰台区,3,2,0,北京-北京市-丰台区
7,石景山区,3,2,0,北京-北京市-石景山区
8,海淀区,3,2,0,北京-北京市-海淀区
9,门头沟区,3,2,0,北京-北京市-门头沟区
10,房山区,3,2,0,北京-北京市-房山区
11,通州区,3,2,0,北京-北京市-通州区
12,顺义区,3,2,0,北京-北京市-顺义区
13,昌平区,3,2,0,北京-北京市-昌平区
14,大兴区,3,2,0,北京-北京市-大兴区
15,怀柔区,3,2,0,北京-北京市-怀柔区
16,平谷区,3,2,0,北京-北京市-平谷区
17,密云县,3,2,0,北京-北京市-密云县
18,延庆县,3,2,0,北京-北京市-延庆县
19,重庆,1,0,0,重庆
20,重庆市,2,19,0,重庆-重庆市
21,万州区,3,20,0,重庆-重庆市-万州区
22,涪陵区,3,20,0,重庆-重庆市-涪陵区
23,渝中区,3,20,0,重庆-重庆市-渝中区
24,大渡口区,3,20,0,重庆-重庆市-大渡口区
25,江北区,3,20,0,重庆-重庆市-江北区
26,沙坪坝区,3,20,0,重庆-重庆市-沙坪坝区
27,九龙坡区,3,20,0,重庆-重庆市-九龙坡区
28,南岸区,3,20,0,重庆-重庆市-南岸区
29,北碚区,3,20,0,重庆-重庆市-北碚区
30,綦江区,3,20,0,重庆-重庆市-綦江区
31,大足区,3,20,0,重庆-重庆市-大足区
32,渝北区,3,20,0,重庆-重庆市-渝北区
33,巴南区,3,20,0,重庆-重庆市-巴南区
34,黔江区,3,20,0,重庆-重庆市-黔江区
35,长寿区,3,20,0,重庆-重庆市-长寿区
36,江津区,3,20,0,重庆-重庆市-江津区
37,合川区,3,20,0,重庆-重庆市-合川区
38,永川区,3,20,0,重庆-重庆市-永川区
39,南川区,3,20,0,重庆-重庆市-南川区
40,潼南县,3,20,0,重庆-重庆市-潼南县
41,铜梁县,3,20,0,重庆-重庆市-铜梁县
42,荣昌县,3,20,0,重庆-重庆市-荣昌县
43,璧山县,3,20,0,重庆-重庆市-璧山县
44,梁平县,3,20,0,重庆-重庆市-梁平县
45,城口县,3,20,0,重庆-重庆市-城口县
46,丰都县,3,20,0,重庆-重庆市-丰都县
47,垫江县,3,20,0,重庆-重庆市-垫江县
48,武隆县,3,20,0,重庆-重庆市-武隆县
49,忠县,3,20,0,重庆-重庆市-忠县
50,开县,3,20,0,重庆-重庆市-开县
51,云阳县,3,20,0,重庆-重庆市-云阳县
52,奉节县,3,20,0,重庆-重庆市-奉节县
53,巫山县,3,20,0,重庆-重庆市-巫山县
54,巫溪县,3,20,0,重庆-重庆市-巫溪县
55,石柱土家族自治县,3,20,0,重庆-重庆市-石柱土家族自治县
56,秀山土家族苗族自治县,3,20,0,重庆-重庆市-秀山土家族苗族自治县
57,酉阳土家族苗族自治县,3,20,0,重庆-重庆市-酉阳土家族苗族自治县
58,彭水苗族土家族自治县,3,20,0,重庆-重庆市-彭水苗族土家族自治县
59,广东省,1,0,0,广东省
60,潮州市,2,59,0,广东省-潮州市
61,湘桥区,3,60,0,广东省-潮州市-湘桥区
62,潮安县,3,60,0,广东省-潮州市-潮安县
63,饶平县,3,60,0,广东省-潮州市-饶平县
64,珠海市,2,59,0,广东省-珠海市
65,香洲区,3,64,0,广东省-珠海市-香洲区
66,斗门区,3,64,0,广东省-珠海市-斗门区
67,金湾区,3,64,0,广东省-珠海市-金湾区
68,阳江市,2,59,0,广东省-阳江市
69,江城区,3,68,0,广东省-阳江市-江城区
